City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,kurchatov,51.6601,35.6521,21.23,70,20,2.76,RU,1690389153
256,kamaishi,39.2667,141.8833,23.46,86,6,2.98,JP,1690389153
257,'alaqahdari dishu,30.4374,63.313,37.96,12,40,2.75,AF,1690389153
258,mkuranga,-7.118,39.2078,21.9,80,9,3.68,TZ,1690389153
259,inhambane,-23.865,35.3833,20.99,64,75,2.57,MZ,1690388799
260,shubarshi,48.5872,57.1869,26.7,32,35,6.26,KZ,1690389153
261,nieuw amsterdam,5.8833,-55.0833,29.81,66,21,4.49,SR,1690389154
262,tabou,4.423,-7.3528,25.76,86,57,4.71,CI,1690389154
263,polyarnyy,69.1989,33.4478,11.14,92,99,2.26,RU,1690389154
264,harstad,68.799,16.5293,19.89,85,71,5.36,NO,1690388864
265,awjilah,29.1081,21.2869,40.68,8,0,3.19,LY,1690389154
266,fort bragg,35.139,-79.006,36.01,55,20,0.89,US,1690389060
267,riohacha,11.5444,-72.9072,30.06,74,20,4.12,CO,1690389123
268,pangody,65.85,74.4859,20.32,70,32,3.03,RU,1690389155
269,callao,-12.0667,-77.15,22.62,68,100,2.06,PE,1690389135
270,aur,8.1499,171.1687,27.61,79,100,6.41,MH,1690389155
271,saipan,15.1355,145.701,27.39,100,40,7.2,MP,1690389155
272,namibe,-15.1961,12.1522,17.77,83,22,3.2,AO,1690389155
273,arraial do cabo,-22.9661,-42.0278,23.92,78,100,6.17,BR,1690389155
274,touros,-5.1989,-35.4608,28.81,61,10,8.13,BR,1690389155
275,moravska trebova,49.7579,16.6643,18.51,59,81,0.89,CZ,1690389156
276,masterton,-40.9597,175.6575,5.49,95,61,1.28,NZ,1690389156
277,barah,13.7,30.3667,27.69,62,100,6.3,SD,1690389156
278,totness,5.8833,-56.3167,29.7,66,21,4.43,SR,1690389156
279,gaziantep,37.0594,37.3825,35.96,14,0,6.69,TR,1690389156
280,chiredzi,-21.05,31.6667,18.68,49,3,2.99,ZW,1690389156
281,kapuskasing,49.4169,-82.4331,19.05,82,100,3.6,CA,1690388901
282,el fasher,13.6279,25.3494,29.38,47,99,10.02,SD,1690389157
283,tadine,-21.55,167.8833,19.43,62,100,7.35,NC,1690389157
284,leh,34.1667,77.5833,20.39,39,49,2.35,IN,1690389157
285,tsiombe,-25.3,45.4833,18.42,56,3,5.77,MG,1690389157
286,port blair,11.6667,92.75,28.02,83,40,7.63,IN,1690388992
287,chacabuco,-34.6417,-60.4739,16.1,52,0,6.71,AR,1690388981
288,west island,-12.1568,96.8225,24.99,83,100,11.83,CC,1690389157
289,isangel,-19.55,169.2667,19.32,78,58,6.91,VU,1690389157
290,souillac,-20.5167,57.5167,21.21,94,40,1.54,MU,1690389157
291,vedi,39.9142,44.7222,29.66,36,0,2.95,AM,1690389158
292,haiku-pauwela,20.9219,-156.3051,24.47,80,40,5.66,US,1690389158
293,uiju,40.1994,124.5317,22.84,95,100,1.3,KP,1690389158
294,al jawf,29.5,38.75,38.09,11,48,5.16,SA,1690388901
295,huanta,-12.9333,-74.25,19.22,19,0,0.86,PE,1690389158
296,hirara,24.8,125.2833,28.15,83,100,7.72,JP,1690389158
